,PRODUCT_NAME,State
30,Rice Oil-Free Face Moisturizer With Rice Water & Niacinamide for Glass Skin - 80 g,"{'Madhya Pradesh': 3, 'Gujarat': 4, 'Andhra Pradesh': 3, 'Rajasthan': 3, 'Himachal Pradesh': 0, 'Maharashtra': 9, 'Karnataka': 3, 'Uttarakhand': 3, 'Chandigarh': 1, 'Arunachal Pradesh': 2, 'Haryana': 2, 'West Bengal': 2, 'Punjab': 4, 'Uttar Pradesh': 0, 'National Capital Territory of Delhi': 4, 'Goa': 1, 'Odisha': 1, 'Jammu and Kashmir': 1, 'Jharkhand': 0, 'Tamil Nadu': 0}"
31,Rice Face Scrub With Rice Water & Niacinamide for Glass Skin - 100 g,"{'Madhya Pradesh': 0, 'Gujarat': 1, 'Andhra Pradesh': 0, 'Rajasthan': 2, 'Himachal Pradesh': 0, 'Maharashtra': 2, 'Karnataka': 2, 'Uttarakhand': 0, 'Chandigarh': 0, 'Arunachal Pradesh': 0, 'Haryana': 0, 'West Bengal': 2, 'Punjab': 2, 'Uttar Pradesh': 3, 'National Capital Territory of Delhi': 1, 'Goa': 1, 'Odisha': 1, 'Jammu and Kashmir': 0, 'Jharkhand': 2, 'Tamil Nadu': 1}"
32,Rice Face Wash With Rice Water & Niacinamide for Glass Skin - 100 ml,"{'Madhya Pradesh': 6, 'Gujarat': 1, 'Andhra Pradesh': 7, 'Rajasthan': 7, 'Himachal Pradesh': 0, 'Maharashtra': 9, 'Karnataka': 2, 'Uttarakhand': 0, 'Chandigarh': 3, 'Arunachal Pradesh': 2, 'Haryana': 6, 'West Bengal': 2, 'Punjab': 7, 'Uttar Pradesh': 6, 'National Capital Territory of Delhi': 4, 'Goa': 3, 'Odisha': 1, 'Jammu and Kashmir': 2, 'Jharkhand': 2, 'Tamil Nadu': 2}"
33,Rice Gel Face Moisturizer With Rice Water & Niacinamide for Glass Skin - 100 ml,"{'Madhya Pradesh': 1, 'Gujarat': 1, 'Andhra Pradesh': 1, 'Rajasthan': 1, 'Himachal Pradesh': 0, 'Maharashtra': 0, 'Karnataka': 0, 'Uttarakhand': 1, 'Chandigarh': 0, 'Arunachal Pradesh': 1, 'Haryana': 0, 'West Bengal': 0, 'Punjab': 0, 'Uttar Pradesh': 1, 'National Capital Territory of Delhi': 2, 'Goa': 1, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 1}"
34,Rice Night Cream With Rice Water & Niacinamide for Glass Skin - 50 g,"{'Madhya Pradesh': 1, 'Gujarat': 0, 'Andhra Pradesh': 1, 'Rajasthan': 0, 'Himachal Pradesh': 0, 'Maharashtra': 2, 'Karnataka': 1, 'Uttarakhand': 0, 'Chandigarh': 0, 'Arunachal Pradesh': 0, 'Haryana': 1, 'West Bengal': 1, 'Punjab': 0, 'Uttar Pradesh': 3, 'National Capital Territory of Delhi': 0, 'Goa': 2, 'Odisha': 1, 'Jammu and Kashmir': 0, 'Jharkhand': 1, 'Tamil Nadu': 0}"
35,Rice Day Cream With Rice Water & Niacinamide for Glass Skin - 50 g,"{'Madhya Pradesh': 6, 'Gujarat': 3, 'Andhra Pradesh': 7, 'Rajasthan': 7, 'Himachal Pradesh': 3, 'Maharashtra': 9, 'Karnataka': 3, 'Uttarakhand': 3, 'Chandigarh': 5, 'Arunachal Pradesh': 1, 'Haryana': 0, 'West Bengal': 1, 'Punjab': 5, 'Uttar Pradesh': 5, 'National Capital Territory of Delhi': 5, 'Goa': 1, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 1, 'Tamil Nadu': 0}"
36,Rice Sleeping Face Mask With Rice Water & Niacinamide for Glass Skin - 100 ml,"{'Madhya Pradesh': 1, 'Gujarat': 1, 'Andhra Pradesh': 0, 'Rajasthan': 0, 'Himachal Pradesh': 0, 'Maharashtra': 2, 'Karnataka': 1, 'Uttarakhand': 0, 'Chandigarh': 1, 'Arunachal Pradesh': 0, 'Haryana': 1, 'West Bengal': 0, 'Punjab': 1, 'Uttar Pradesh': 0, 'National Capital Territory of Delhi': 2, 'Goa': 0, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
37,Hair Oil Booster - 30 ml | Almond,"{'Madhya Pradesh': 6, 'Gujarat': 4, 'Andhra Pradesh': 4, 'Rajasthan': 3, 'Himachal Pradesh': 1, 'Maharashtra': 7, 'Karnataka': 2, 'Uttarakhand': 2, 'Chandigarh': 1, 'Arunachal Pradesh': 5, 'Haryana': 0, 'West Bengal': 2, 'Punjab': 7, 'Uttar Pradesh': 2, 'National Capital Territory of Delhi': 3, 'Goa': 4, 'Odisha': 2, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 1}"
38,Hair Oil Booster - 30 ml | Rice,"{'Madhya Pradesh': 8, 'Gujarat': 3, 'Andhra Pradesh': 2, 'Rajasthan': 2, 'Himachal Pradesh': 2, 'Maharashtra': 6, 'Karnataka': 4, 'Uttarakhand': 2, 'Chandigarh': 3, 'Arunachal Pradesh': 4, 'Haryana': 2, 'West Bengal': 1, 'Punjab': 5, 'Uttar Pradesh': 4, 'National Capital Territory of Delhi': 2, 'Goa': 3, 'Odisha': 1, 'Jammu and Kashmir': 1, 'Jharkhand': 1, 'Tamil Nadu': 1}"
39,Hair Oil Booster - 30 ml | Tea Tree,"{'Madhya Pradesh': 3, 'Gujarat': 3, 'Andhra Pradesh': 6, 'Rajasthan': 5, 'Himachal Pradesh': 0, 'Maharashtra': 5, 'Karnataka': 6, 'Uttarakhand': 2, 'Chandigarh': 0, 'Arunachal Pradesh': 6, 'Haryana': 3, 'West Bengal': 1, 'Punjab': 1, 'Uttar Pradesh': 4, 'National Capital Territory of Delhi': 2, 'Goa': 3, 'Odisha': 1, 'Jammu and Kashmir': 1, 'Jharkhand': 2, 'Tamil Nadu': 1}"
